address_line1,address_line2,city,food_type,food_type1,location,number_of_reviews,opening_hour,out_of,phone,price_range,restaurant_name,review_score
Dhahran Boulevard, Al Khobar Saudi Arabia,Eastern_Province,"  , Indian, Asian", Indian,"Dhahran Boulevard, Al Khobar Saudi Arabia",49,+ Add hours,5 of 31 Indian in Al Khobar,966 13 887 5581,, Tandoori Restaurant,4.0 
Across the street from the Corniche, Al Khobar Saudi Arabia,Eastern_Province,", Middle Eastern, Fast Food, Halal", Middle Eastern,"Across the street from the Corniche, Al Khobar Saudi Arabia",40,+ Add hours,7 of 27 Fast Food in Al Khobar,8207111,, Shrinpy's,4.0 
6188 King Faisal Road, Al Khobar 344233592 Saudi Arabia,Eastern_Province,"  , Seafood, Lebanese, Mediterranean", Seafood,"6188 King Faisal Road, Al Khobar 344233592 Saudi Arabia",43,Closed Now:See all hours,2 of 13 Lebanese in Al Khobar,966 13 882 1882,, Al Yacht Restaurant,4.0 
Prince Turkey Street, Al Khobar Saudi Arabia,Eastern_Province,"  , Turkish, Middle Eastern, Mediterranean", Turkish,"Prince Turkey Street, Al Khobar Saudi Arabia",40,+ Add hours,9 of 30 Mediterranean in Al Khobar,966 13 803 0089,," Kosebasi, Al Khobar",4.0 
Prince Faisal Bin Fahd Road Amwaj Mall, Al Khobar 34436 Saudi Arabia,Eastern_Province,"  , American, Pizza, Fast Food", American,"Prince Faisal Bin Fahd Road Amwaj Mall, Al Khobar 34436 Saudi Arabia",40,+ Add hours,11 of 40 American in Al Khobar,966 13 891 2323,, Papa John's,4.0 
Mall of Dhahran Blvd Dhahran Mall, Dhahran Saudi Arabia,Eastern_Province,"  , Cafe", Cafe,"Mall of Dhahran Blvd Dhahran Mall, Dhahran Saudi Arabia",19,+ Add hours,1 of 1 Coffee & Tea in Dhahran,,, Caffe Bene,4.5 
7329 King Abdullah Road, Al Hofuf,Eastern_Province,", Egyptian, Arabic, Fast Food", Egyptian,"7329 King Abdullah Road, Al Hofuf, Al Ahsa 36364 Saudi Arabia",39,Closed Now:See all hours,1 of 6 Fast Food in Al Hofuf,966 56 488 8860, 8 -  19, NOOBA Kushari,4.5 
Prince Saud Bin Jalawi Road, Al Ahsa 36361 Saudi Arabia,Eastern_Province,"  , Turkish, Steakhouse, Barbecue", Turkish,"Prince Saud Bin Jalawi Road, Al Ahsa 36361 Saudi Arabia",15,+ Add hours,1 of 1 Steakhouse in Al Ahsa,966 13 586 6622,, HASA Steak & Grill,4.5 
7826-36362-3097, Al Ahsa Saudi Arabia,Eastern_Province,"  , American, Central American, South American", American,"7826-36362-3097, Al Ahsa Saudi Arabia",38,+ Add hours,1 of 1 American in Al Ahsa,966 13 599 3489,, Fridays,4.0 
Prince Sultan Ibn Fahd Street, Al Khobar Saudi Arabia,Eastern_Province,"  , Indian, Seafood, International", Indian,"Prince Sultan Ibn Fahd Street, Al Khobar Saudi Arabia",21,Closed Now:See all hours,6 of 31 Indian in Al Khobar,,, Bistro lounge,4.0 
King Saud Street Near Mubarak Trade Centre, Al Ahsa Saudi Arabia,Eastern_Province,"  , Indian, Asian, Middle Eastern", Indian,"King Saud Street Near Mubarak Trade Centre, Al Ahsa Saudi Arabia",35,Closed Now:See all hours,3 of 6 Indian in Al Ahsa,966 13 599 9909,, Saffron Island Restaurant,4.0 
Prince Mohammed Bin Fahd Road, Dammam 32413 Saudi Arabia,Eastern_Province,"  , Latin, International, European", Latin,"Prince Mohammed Bin Fahd Road, Dammam 32413 Saudi Arabia",19,Closed Now:See all hours,1 of 16 Italian in Dammam,966 50 132 1166, 30 -  115, Beach Park Restaurant,4.5 
1st Street Sheraton Dammam, Dammam 31422 Saudi Arabia,Eastern_Province,", Japanese, Asian, Chinese", Japanese,"1st Street Sheraton Dammam, Dammam 31422 Saudi Arabia",34,Closed Now:See all hours,4 of 8 Chinese in Dammam,966 13 834 5555,, Asahi Pan-Asian Restaurant,4.0 
Al Khobar Saudi Arabia,,Eastern_Province,", Diner, Middle Eastern", Diner,Al Khobar Saudi Arabia,12,+ Add hours,1 of 6 Diner in Al Khobar,966 13 894 0145,, Shawatee Alkhaleej Restaurant,4.5 
alkaleej Road, Dammam Saudi Arabia,Eastern_Province,"  , Fast Food, Halal, Vegetarian Friendly", Fast Food,"alkaleej Road, Dammam Saudi Arabia",28,+ Add hours,19 of 103 Restaurants in Dammam,966 13 854 8895,, Spicy meal,4.0 
4192 King Salman Street, Al Khobar Saudi Arabia,Eastern_Province,", Italian, European, Vegetarian Friendly", Italian,"4192 King Salman Street, Al Khobar Saudi Arabia",59,+ Add hours,8 of 31 Italian in Al Khobar,966 13 802 5222,, Gusto,4.0 
King Fahad Street, Al Jubail 31961 Saudi Arabia,Eastern_Province,"  , Chinese, Asian, Seafood", Chinese,"King Fahad Street, Al Jubail 31961 Saudi Arabia",20,+ Add hours,2 of 8 Chinese in Al Jubail,3610989,, The Great Wall Chinese Restaurant,4.0 
Abdullah Ibn Al Abbas Street, Dhahran 34452 Saudi Arabia,Eastern_Province,", Middle Eastern, Mediterranean, Halal", Middle Eastern,"Abdullah Ibn Al Abbas Street, Dhahran 34452 Saudi Arabia",32,+ Add hours,1 of 6 Mediterranean in Dhahran,8911779,, Mozon,4.0 
7979, Feras Bin Al Nadher Street Al Ulaya District,Eastern_Province,", American, African, Barbecue", American,"7979, Feras Bin Al Nadher Street Al Ulaya District, Al Khobar 34445 Saudi Arabia",13,Closed Now:See all hours,13 of 40 American in Al Khobar,966 56 280 5617,, The Hussar Grill,4.5 
Abu Bakkar Siddiq Road AL-MUAJJAL PLAZA, ABU BAKKAR SIDDIQ ROAD,Eastern_Province,"  , Chinese, Indian, Seafood", Chinese,"Abu Bakkar Siddiq Road AL-MUAJJAL PLAZA, ABU BAKKAR SIDDIQ ROAD,, Jubail, Saudi Arabia, Al Jubail 31951 Saudi Arabia",25,+ Add hours,3 of 8 Chinese in Al Jubail,966 59 500 6250, 15 -  99, Masala Restaurant,4.5 
Corniche Rd Aldugaither island, Al Khobar Saudi Arabia,Eastern_Province,", European, Cafe, Mediterranean", European,"Corniche Rd Aldugaither island, Al Khobar Saudi Arabia",61,Closed Now:See all hours,10 of 47 Cafe in Al Khobar,966 13 881 5800,, Aioli Lounge,3.5 
Salaheddin Al Ayoubi Street Building 1, Al Khobar 31952 Saudi Arabia,Eastern_Province,"  , Cafe, Mediterranean, Greek", Cafe,"Salaheddin Al Ayoubi Street Building 1, Al Khobar 31952 Saudi Arabia",12,Closed Now:See all hours,11 of 47 Cafe in Al Khobar,966 56 253 0333, 85 -  200, Taverna,4.5 
University Rd Intersection with Riyadh St Al Hofuf Eastern, Al Ahsa Saudi Arabia,Eastern_Province,", Halal", Halal,"University Rd Intersection with Riyadh St Al Hofuf Eastern, Al Ahsa Saudi Arabia",31,+ Add hours,9 of 30 Restaurants in Al Ahsa,,, McDonald's,4.0 
Prince Faisal Bin Fahad Road Mercado Strip Mall, Al Khobar 34414 Saudi Arabia,Eastern_Province,", French, Dutch, Cafe", French,"Prince Faisal Bin Fahad Road Mercado Strip Mall, Al Khobar 34414 Saudi Arabia",18,Closed Now:See all hours,3 of 10 French in Al Khobar,966 13 802 3333, 3 -  40, La Pate Bakery,4.0 
First Street, Dammam 5397 Saudi Arabia,Eastern_Province,"  , Italian", Italian,"First Street, Dammam 5397 Saudi Arabia",44,+ Add hours,2 of 16 Italian in Dammam,966 13 834 5555, 38 -  188, Da Vinci Italian Restaurant,4.0 
Al Jabal Street, Al Jubail Saudi Arabia,Eastern_Province,", Indian, Barbecue, Asian", Indian,"Al Jabal Street, Al Jubail Saudi Arabia",14,Closed Now:See all hours,5 of 14 Indian in Al Jubail,966 53 659 9792,, Delhi ,4.0 
7483 King Fahd Road Khobar South, Al Khobar 31952 Saudi Arabia,Eastern_Province,"  , Indian, Asian, Vegetarian Friendly", Indian,"7483 King Fahd Road Khobar South, Al Khobar 31952 Saudi Arabia",32,Closed Now:See all hours,7 of 31 Indian in Al Khobar,966 13 893 7989,, Sukh Sagar,4.0 
King Abdulaziz Street, Al Hofuf,Eastern_Province,"  , Seafood, Mediterranean, Vegetarian Friendly", Seafood,"King Abdulaziz Street, Al Hofuf, Al Ahsa Saudi Arabia",17,+ Add hours,1 of 2 Seafood in Al Hofuf,966 3 580 0245, 10 -  125, Al Mahar Restaurant,4.5 
Riyadh Road, Al Hofuf,Eastern_Province,  ,Restaurants,"Riyadh Road, Al Hofuf, Al Ahsa 36421 Saudi Arabia",14,+ Add hours,5 of 35 Restaurants in Al Hofuf,966 13 575 6666,, Khyber Restaurant,4.0 
10 Street Prince Saad Prince Talal, Al Khobar 31952 Saudi Arabia,Eastern_Province,"  , Seafood", Seafood,"10 Street Prince Saad Prince Talal, Al Khobar 31952 Saudi Arabia",10,+ Add hours,10 of 20 Seafood in Al Khobar,966 54 540 6105,, Al Marsah Star Seafood Restaurant,4.5 
King Khaled St, Al Khobar 34427 Saudi Arabia,Eastern_Province,"  , Barbecue, Middle Eastern, Lebanese", Barbecue,"King Khaled St, Al Khobar 34427 Saudi Arabia",16,+ Add hours,3 of 13 Lebanese in Al Khobar,966 13 867 7313,, Qasr Al Rehab Restaurant & Grill,4.5 
Al Khobar Al Shamalia 3879 King Abdul Aziz Road, Al Khobar 346269106 Saudi Arabia,Eastern_Province,"  , Lebanese, Mediterranean, Barbecue", Lebanese,"Al Khobar Al Shamalia 3879 King Abdul Aziz Road, Al Khobar 346269106 Saudi Arabia",61,+ Add hours,4 of 13 Lebanese in Al Khobar,966 3 897 7000,, Al Wazzan Restaurant,3.5 
Makkah Street, Al Khobar Saudi Arabia,Eastern_Province,"  , Central Asian, Halal", Central Asian,"Makkah Street, Al Khobar Saudi Arabia",24,+ Add hours,1 of 1 Central Asian in Al Khobar,,, Eydaam,4.0 
Khaleej Rd, Ash Shati Al Gharbi,Eastern_Province,", Lebanese, Middle Eastern, Fast Food", Lebanese,"Khaleej Rd, Ash Shati Al Gharbi, Dammam 32415, Dammam 32415 Saudi Arabia",18,Closes in 11 min:See all hours,7 of 9 Lebanese in Dammam,966 9200 29970, 10 -  28, Operation: Falafel,4.0 
Dahran street, Al Ahsa Saudi Arabia,Eastern_Province,"  , Indian, Asian, Vegetarian Friendly", Indian,"Dahran street, Al Ahsa Saudi Arabia",36,+ Add hours,4 of 6 Indian in Al Ahsa,,, Cooper chandni,4.0 
Movenpick Hotel Al Khobar, Al Khobar 31952 Saudi Arabia,Eastern_Province,", Indian, Asian, Vegetarian Friendly", Indian,"Movenpick Hotel Al Khobar, Al Khobar 31952 Saudi Arabia",230,+ Add hours,8 of 31 Indian in Al Khobar,966 13 898 4999, 75 -  376, Maharaja by Vineet,4.5 
King Fahad Road, Al Jubail 31961 Saudi Arabia,Eastern_Province,"  , Lebanese, Mediterranean", Lebanese,"King Fahad Road, Al Jubail 31961 Saudi Arabia",15,+ Add hours,2 of 5 Lebanese in Al Jubail,966 13 831 3111,, Manoosha Al Reef,4.5 
Prince Mashhoor Road,,Eastern_Province,"  , Barbecue, Middle Eastern, Pakistani", Barbecue,"Prince Mashhoor Road,, Al Jubail 35412 Saudi Arabia",10,Closed Now:See all hours,4 of 8 Barbecue in Al Jubail,966 59 143 4834,, Mama Jee,4.5 
Mall of Dhahran, Al Khobar Saudi Arabia,Eastern_Province,"  , Cafe", Cafe,"Mall of Dhahran, Al Khobar Saudi Arabia",40,+ Add hours,13 of 47 Cafe in Al Khobar,,, Costa Coffee,3.5 
Pepsi Street Prince Faisal Bin Fahad Road, Al Khobar 31952 Saudi Arabia,Eastern_Province,"  , Mexican, Vegetarian Friendly", Mexican,"Pepsi Street Prince Faisal Bin Fahad Road, Al Khobar 31952 Saudi Arabia",30,Closes in 11 min:See all hours,2 of 6 Mexican in Al Khobar,966 3 887 7556,, Sandella's Flatbread Cafe,4.0 
Amir Sultan Street Cross 6/7, Al Khobar Saudi Arabia,Eastern_Province,"  , Indian, Asian, Pakistani", Indian,"Amir Sultan Street Cross 6/7, Al Khobar Saudi Arabia",36,Open Now:12:15 PM - 11:15 AM,9 of 31 Indian in Al Khobar,96-3-8971366,, Bikki Restaurant,3.5 
Gulf street, Al Hofuf,Eastern_Province,"  , Asian, Halal", Asian,"Gulf street, Al Hofuf, Al Ahsa Saudi Arabia",15,+ Add hours,2 of 3 Asian in Al Hofuf,,, Curry n Hurry,4.0 
Al Shati Road, Al Jubail Saudi Arabia,Eastern_Province,  ,Restaurants,"Al Shati Road, Al Jubail Saudi Arabia",23,+ Add hours,21 of 73 Restaurants in Al Jubail,,, Tgi Friday's,4.0 
7th Street Cross Prince Musa`ad St. Tuki Center, Khobar Corniche,Eastern_Province,"  , American, Fast Food", American,"7th Street Cross Prince Musa`ad St. Tuki Center, Khobar Corniche, Al Khobar 31952 Saudi Arabia",45,Closes in 11 min:See all hours,15 of 40 American in Al Khobar,966 13 881 7400,, The Burger Stop,4.0 
Dhahran Rd,,Eastern_Province,", Fast Food", Fast Food,"Dhahran Rd,, Al Hofuf, Al Ahsa 36341 Saudi Arabia",18,+ Add hours,2 of 6 Fast Food in Al Hofuf,966 9200 06999,, Kudu,4.0 
Jubail City Al Balad, Al Jubail 31961 Saudi Arabia,Eastern_Province,"  , Chinese, Indian, Asian", Chinese,"Jubail City Al Balad, Al Jubail 31961 Saudi Arabia",17,+ Add hours,4 of 8 Chinese in Al Jubail,966 13 361 9097,, India Gate,4.0 
22nd Street, Al Khobar Saudi Arabia,Eastern_Province,"  , Barbecue, Pakistani, Asian", Barbecue,"22nd Street, Al Khobar Saudi Arabia",97,+ Add hours,13 of 21 Barbecue in Al Khobar,,, Bundoo Khan,3.5 
Prince Faisal Bin Fahad Road, Al Khobar Saudi Arabia,Eastern_Province,American,American,"Prince Faisal Bin Fahad Road, Al Khobar Saudi Arabia",16,+ Add hours,17 of 40 American in Al Khobar,966 13 802 2648,, The Cuts Urban Kitchen,4.0 
Prince Faisal Bin Fahd Road, Al Khobar Saudi Arabia,Eastern_Province,", Middle Eastern, Fast Food, Mediterranean", Middle Eastern,"Prince Faisal Bin Fahd Road, Al Khobar Saudi Arabia",19,+ Add hours,14 of 27 Fast Food in Al Khobar,966 13 801 0455,, Shawarmer,4.0 
101 St Al Sanaiyah, Al Jubail 31961 Saudi Arabia,Eastern_Province,"  , Lebanese, Middle Eastern, Mediterranean", Lebanese,"101 St Al Sanaiyah, Al Jubail 31961 Saudi Arabia",103,Closed Now:See all hours,3 of 5 Lebanese in Al Jubail,966 13 356 4093, 94 -  132, Al Diwan Restaurant,4.5 
Salahuddin Al Ayoubi Street, Al Khobar 31952 Saudi Arabia,Eastern_Province,", Japanese, Asian, Seafood", Japanese,"Salahuddin Al Ayoubi Street, Al Khobar 31952 Saudi Arabia",16,+ Add hours,5 of 11 Japanese in Al Khobar,966 13 801 5028,, Kodo,4.5 
7999, Feras Bin Al Nadher Street,Eastern_Province,"  , Barbecue, Grill", Barbecue,"7999, Feras Bin Al Nadher Street, Al Khobar 34445 Saudi Arabia",9,Closed Now:See all hours,14 of 21 Barbecue in Al Khobar,966 56 984 4447, 20 -  50, RocoMamas Khobar,4.5 
Prince faisal bin fahad road Pepsi Road, Al Khobar Saudi Arabia,Eastern_Province,", Lebanese, Middle Eastern, Mediterranean", Lebanese,"Prince faisal bin fahad road Pepsi Road, Al Khobar Saudi Arabia",53,Closed Now:See all hours,5 of 13 Lebanese in Al Khobar,966 13 887 1733,, Maxim,3.5 
Abu Bakr Ibn Othman St, Al Athir,Eastern_Province,"  , Indian, Asian, Middle Eastern", Indian,"Abu Bakr Ibn Othman St, Al Athir, Dammam 32248, Dammam 32248 Saudi Arabia",10,Closed Now:See all hours,22 of 103 Restaurants in Dammam,966 13 832 7614, 10 -  50, Masala House,4.5 
Prince Turki Street 7th Street, Al Khobar Saudi Arabia,Eastern_Province,", Seafood", Seafood,"Prince Turki Street 7th Street, Al Khobar Saudi Arabia",28,+ Add hours,12 of 20 Seafood in Al Khobar,,, Al-Dhow,4.0 
King Abdulaziz Stret, Al Khobar 344414093 Saudi Arabia,Eastern_Province,  ,Restaurants,"King Abdulaziz Stret, Al Khobar 344414093 Saudi Arabia",15,+ Add hours,92 of 296 Restaurants in Al Khobar,,, Kababchini Restaurant,4.5 
Prince Mohammed Bin Fahd Branch Rd Al Qusur, Dhahran Saudi Arabia,Eastern_Province,"  , Middle Eastern, Lebanese, Cafe", Middle Eastern,"Prince Mohammed Bin Fahd Branch Rd Al Qusur, Dhahran Saudi Arabia",16,Closed Now:See all hours,2 of 2 Lebanese in Dhahran,966 9200 00401, 4 -  19, Aliwan Alshami Restaurant & Cafe,4.0 
Prince Nayef Street, Al Khobar 34429 Saudi Arabia,Eastern_Province,"  , Chinese, Asian, Korean", Chinese,"Prince Nayef Street, Al Khobar 34429 Saudi Arabia",9,Closed Now:See all hours,6 of 18 Chinese in Al Khobar,966 13 894 7542,, Jingogai,4.5 
No 10 Althuqbah Aqrabiyah, Al Khobar Saudi Arabia,Eastern_Province,"  , Middle Eastern, Halal", Middle Eastern,"No 10 Althuqbah Aqrabiyah, Al Khobar Saudi Arabia",28,+ Add hours,22 of 50 Middle Eastern in Al Khobar,966 13 869 1911, 56 -  188, Malik Mandi,4.0 
Riyadh Road,,Eastern_Province,"  , Steakhouse", Steakhouse,"Riyadh Road,, Al Hofuf, Al Ahsa Saudi Arabia",7,Closed Now:See all hours,1 of 1 Steakhouse in Al Hofuf,966 13 575 0040,, Tenderloin,4.5 
Behind Sabic HQ, Al Jubail 31951 Saudi Arabia,Eastern_Province,"  , Seafood", Seafood,"Behind Sabic HQ, Al Jubail 31951 Saudi Arabia",41,Closed Now:See all hours,5 of 9 Seafood in Al Jubail,966 13 363 2387,, Golden Fish Restaurant,4.0 
Al Ahsa 36423 Saudi Arabia,,Eastern_Province,", Italian", Italian,Al Ahsa 36423 Saudi Arabia,10,+ Add hours,1 of 7 Italian in Al Ahsa,, 16 -  28, La Casa Pasta,4.5 
Al Khobar Corniche, Al Khobar Saudi Arabia,Eastern_Province,"  , American, Cafe", American,"Al Khobar Corniche, Al Khobar Saudi Arabia",69,Closed Now:See all hours,18 of 40 American in Al Khobar,966 56 882 0120,, Starbucks,3.5 
Cornish, Dhahran 31952 Saudi Arabia,Eastern_Province,", Barbecue, Halal", Barbecue,"Cornish, Dhahran 31952 Saudi Arabia",24,+ Add hours,2 of 3 Barbecue in Dhahran,966 55 548 4793, 75 -  113, Brasa,4.0 
5022 Prince Faisal Bin Fahd Road,,Eastern_Province,", Italian, American, European", Italian,"5022 Prince Faisal Bin Fahd Road,, Al Khobar 34433 Saudi Arabia",8,+ Add hours,9 of 31 Italian in Al Khobar,966 13 830 9103, 10 -  40, EspressoLab,4.5 
AlTurki Business Park, Al Khobar Saudi Arabia,Eastern_Province,"  , French, European, Cafe", French,"AlTurki Business Park, Al Khobar Saudi Arabia",15,+ Add hours,4 of 10 French in Al Khobar,,, Tower Kitchen by Pattis France,4.5 
Alshihab Altaifi St., Al Khobar 31952 Saudi Arabia,Eastern_Province,"  , International, Italian, Cafe", International,"Alshihab Altaifi St., Al Khobar 31952 Saudi Arabia",18,+ Add hours,10 of 31 Italian in Al Khobar,966 13 889 6044, 20 -  225, Tuxedo Restaurant & Cafe,4.0 
10th St., Al Khobar Saudi Arabia,Eastern_Province,  ,Restaurants,"10th St., Al Khobar Saudi Arabia",12,+ Add hours,99 of 296 Restaurants in Al Khobar,, 94 -  376, Khobar,4.5 
Al Ashriah Street,,Eastern_Province,", Turkish", Turkish,"Al Ashriah Street,, Dammam 32414 Saudi Arabia",14,Closed Now:See all hours,1 of 5 Turkish in Dammam,966 13 809 5900, 9 -  99, Kunefeci,4.0 
Dhahran Mall, Dhahran 34457 Saudi Arabia,Eastern_Province,  ,Restaurants,"Dhahran Mall, Dhahran 34457 Saudi Arabia",26,+ Add hours,10 of 47 Restaurants in Dhahran,966 13 868 3260,, Chillis Dhahran Mall,4.0 
7th Street, Al Khobar 31952 Saudi Arabia,Eastern_Province,Restaurants,Restaurants,"7th Street, Al Khobar 31952 Saudi Arabia",9,+ Add hours,100 of 296 Restaurants in Al Khobar,966 13 895 7700,, Petitparis,4.5 
Al Corniche, Al Jubail Saudi Arabia,Eastern_Province,"  , Lebanese, Mediterranean, Middle Eastern", Lebanese,"Al Corniche, Al Jubail Saudi Arabia",25,+ Add hours,4 of 5 Lebanese in Al Jubail,347-4999,, Dar Al Karam,3.5 
Khobar Prince Turkey Street, After Tamimi,Eastern_Province,"  , Lebanese, Middle Eastern, Mediterranean", Lebanese,"Khobar Prince Turkey Street, After Tamimi, Al Khobar Saudi Arabia",16,+ Add hours,6 of 13 Lebanese in Al Khobar,966 13 899 9244,, Alshahrour Restaurant,4.0 
King Abdulaziz Road, Al Jubail 31961 Saudi Arabia,Eastern_Province,"  , Filipino, Asian", Filipino,"King Abdulaziz Road, Al Jubail 31961 Saudi Arabia",10,+ Add hours,1 of 1 Filipino in Al Jubail,966 50 202 6879,, Pansitan,4.0 
Corniche Next to Brasa de Brazil, Al Khobar Saudi Arabia,Eastern_Province,", Indian, Middle Eastern", Indian,"Corniche Next to Brasa de Brazil, Al Khobar Saudi Arabia",19,Closed Now:See all hours,10 of 31 Indian in Al Khobar,966 13 881 4888,, Laguna Eastern,3.5 
Al Qashla Street DoubleTree by Hilton, Dhahran 31952 Saudi Arabia,Eastern_Province,"  , International", International,"Al Qashla Street DoubleTree by Hilton, Dhahran 31952 Saudi Arabia",9,Open Now:7:00 PM - 12:00 PM,1 of 4 International in Dhahran,966 13 331 1144,, Al Waha,4.5 
Ibn Batuta Street,,Eastern_Province,"  , Fast Food, Mediterranean, Barbecue", Fast Food,"Ibn Batuta Street,, Dhahran Saudi Arabia",9,+ Add hours,1 of 5 Fast Food in Dhahran,,, AlMumtaz Restaurant,4.0 
Prince Talal Bin Abdulaziz St, Al Hofuf,Eastern_Province,"  , American", American,"Prince Talal Bin Abdulaziz St, Al Hofuf, Al Ahsa Saudi Arabia",12,+ Add hours,2 of 6 American in Al Hofuf,966 59 971 5991,, Bun&Patty,4.5 
Zaid Ibn AlKhattab Street, Al Khobar 34447 Saudi Arabia,Eastern_Province,"  , Cafe, Vegetarian Friendly, Vegan Options", Cafe,"Zaid Ibn AlKhattab Street, Al Khobar 34447 Saudi Arabia",26,Closed Now:See all hours,18 of 47 Cafe in Al Khobar,966 13 898 9897,, Scramble,4.0 
King Saud Branch Rd, Al Hada,Eastern_Province,", Fast Food", Fast Food,"King Saud Branch Rd, Al Hada, Al Khobar 34439 Saudi Arabia",8,+ Add hours,15 of 27 Fast Food in Al Khobar,966 13 801 0212,, Burger Nook,4.5 
8277 Uthman Ibn Affan Al Nuzhah, Dammam 322522142 Saudi Arabia,Eastern_Province,"  , Seafood, Soups", Seafood,"8277 Uthman Ibn Affan Al Nuzhah, Dammam 322522142 Saudi Arabia",27,+ Add hours,1 of 6 Seafood in Dammam,966 3 809 2088,, Darin Seafood,3.5 
6186 Prince Sultan Road Ar Rakah Al Janubiyah 3326, Al Khobar 34227 6186 Saudi Arabia,Eastern_Province,"American, Contemporary", Contemporary,"6186 Prince Sultan Road Ar Rakah Al Janubiyah 3326, Al Khobar 34227 6186 Saudi Arabia",6,+ Add hours,21 of 40 American in Al Khobar,966 53 352 7413,, DiCE,4.5 
